Participant Number,Experience
2360,"I actually really enjoyed it, I thought, okay, so much valuable insight, and the things that I wouldn't have even thought to really consider. It was just really thought provoking. And then one of the most recent updates that they did where it showed, oh, gosh, like, kind of tracked your, like stress points throughout the day, I really have been enjoying that one now,"
2633,"Um, overall, um pretty good to deal with on a daily basis. Um, the positives would be the information that it yields. I find it pretty interesting. Um, being somewhat of an amateur athlete comparing what the oura ring provides vs say what my like core OS watch provides. Um, the negatives would be that you do have to log into every day. And that the numbers that yields for say, sleep can be pretty negative in terms of the mindset of what you want."
2709,"Oh, it was good. Because of well, the feedback. But the This Is It looks like a meal at the more stuff on the phone. Yeah,"
3036,"Um, its fine. I mean, sometimes I would look at the data, sometimes I wouldn't. Um I would take it off occasionally when I was doing things with my hands that it was affecting, but not very often, so. Um you know, sometimes it was useful information. Sometimes it was stuff I already knew so."
3067,"For the most part, it was good I once I got used to it because it did feel very thick. And actually, I could feel that for quite a while. I once I got used to it, everything was pretty good. It was smooth, I did have to charge more frequently than expected, because the most important data I guess, I guess you can only if I remember is months back when I was reading it, you really only have to charge it roughly once a week unless you do sort of the night stuff. But everybody wants the night stuff."
3237,"Yeah, I, I think my experience with the oura ring was overall positive. It's the first fitness tracker I've used I for sensory reasons I struggle with wearing watches. And so this is the oura ring is the first ring fitness tracker that I was aware of. It was the first one I tried. And I've had, I've had a very good experience with it."
3346,"It's a good. I discover a lot of information I don't know about the my sleep wave the graphic about the how it's working my sleep, how is the process. I use the Apple Watch and but this might have a little more information about my breath about my temperature. So it's something like can be give me more that the way they used to explain why this process or why you don't do that. Why you don't do this is so it's very important. And I'm fine with it."
3468,Oh it's been good.
3525,"Um, yeah, I mean, I think it was great. I think every morning, it was nice to like, look, I think when I signed up for this, it was more so for the sleep data, because I don't sleep and sleep even less in season."
3670,"It feet good. I mean, it was a little bit chunky to get used to. But once I was used to it and found the finger that I thought it worked well on, it worked okay."
3791,"Um, overall experience was good. I think it was interesting to have it track some of the stuff that tracks I have an Apple Watch. And it was interesting to like, compare between the two and like, this text so much more stuff."
3825,"Um, so I think at the beginning, like it kind of took a little getting used to having another it's it's a bulky"
3975,"In the beginning, it was really fun to look at all the data and just kind of dive into it and learn a little bit more about like sleep and just kind of what's going on that you don't think is going on."
4015,"I enjoyed it. It took a couple of days to kind of get used to it. It was a little clunky, cause it's, it's kinda chunky. But um, I really like the app and seeing the information and the fact that it's even updated since we've started as far as the information they give."
4092,"Well, I found it fascinating that this device could record as much as it could and give me that much feedback. I was a little concerned about wearing it all the time, because I take all my jewelry off when I go to sleep. And but it really, it became a part of me. And at times, I would almost forget to charge it. There were only a couple of times I actually forgot it altogether. And I thought, oh, you know, I, I hope that they just, I have this like, really strange view of all of you like, with this big thing ""okay 4092 Okay, they forgot a day."" And I think I was, you know, interested, because as I told you earlier, I have done research for, like, so much of my career, and one of the projects we did was we asked people diagnosed with rheumatoid arthritis to carry around a handheld computer that prompted them randomly three times a day, and they had to fill out, respond to their current pain and mood. And so then I'd go to their house actually upload the data, and I would be able to see what was missing. And so I thought, wow, you know, I really want to know what that was a little bit like for them"
4245,"It was fine. Um, I would say the only thing that I didn't like about it was the clunkiness of it. Like, it's just so I can't put your fingers together. But other than that, I mean, I thought it was good."
4252,It was a good experience.
4302,"Okay, so I don't wear jewelry."
4413,"Um, I definitely was excited about it in the beginning, I had it all very fascinating and was checking my output. Yeah, all the time. Yeah. And then maybe six months, and I found myself less interested in the output less engaged. Yeah. Some of the the scores and numbers and things but, but I did appreciate having the check in for, like how I was feeling compared to the data. And I don't know if I would have done it without the structure of the study. Like it wasn't something I had been looking into already says a really nice way to just explore having some kind of I don't wear a Fitbit. I don't do any tracking. Gotcha. So it really was new. So I enjoyed it."
4718,"Um, It's pretty convenient."
4758,"I thought it was fine. It was pretty unobtrusive. And it was interesting, you know, in the mornings to like, look at the data."
4782,"I think it's been good. I have no, no issues with it at all. Um, I found that towards the end, it needed to be recharged. I needed to do it every day, or else it would. But I tried to do every day, lets put that way."
4831,"It's great, I like keep talking of sleeping data and uh readiness data. And I think those two are definitely the kind of valuable data to keep track of, especially like sleeping data that I can see I like, like looking at active scores. So that's what I enjoy the most."
4924,"Um, I would say I enjoyed it. I think that I learned an awful lot about my sleep right?, and that it was very interesting to sort of look at in terms of it, I, and I definitely think the ring was focused towards the sleep side of things. Which is, which is, you know, which is something that you don't have when you have your Apple watch or other things. So overall, I thought it was, I thought it was really interesting. And I enjoy it. And you know, and have enjoyed it. Through the process."
4967,
5021,"I, I got some good information from it. I got really used to it really quickly. The only time it will I did run into a snag where they kept saying that I wasn't wearing my ring. And I'm like, I'm wearing my ring. I don't know what happened. Something happened when I changed phones, even though I had it on. I don't know what happened. But they're like, you're not wearing the ring. I'm like, I'm taking it off. It's charged, you know? Yeah. So something went wrong there. That was the only problem that I had. The only other sort of inconvenience for me, is I don't wear rings when I golf. And so it was just it changed my grandpa. I know that sounds stupid. But that was the only other thing with it. But you know, I looked at the information every day. I didn't you can shut that behind your head or feeling sorry. The I don't try to go to bed at the same time every night. So that information wasn't helpful to me. But a lot of the other stuff was was good. I was surprised when it could tell me that I had a fever a couple of different times that told me that I had a fever and that and that was good. My big joke is that I was President of the Faculty Senate and the President's Board of Trustees was talking to me one night at length and I said, Hey, Bill, my phone just told me I gotta go to bed. Bye. Yeah. Yeah. So yeah."
5251,"I really liked the ring. I like I check it frequently. Yeah. I feel like it pushes me to do more. Because even though I know my name isn't there, I know, like, somewhere, somebody's spying on me. And you need to get up and move. But yeah, I really like it. I think it was, you know, very helpful for me, I like to be, I like to have the facts about everything. So yeah, I did check it frequently. Daily. So"
5254,It was interesting and novel.
5331,It was fine. I will say that the rings a little cumbersome to wear. Yeah.
5373,
5426,"It's been pretty good. I don't think it says I don't think about it that much. The only thing that I started notice was in the summer in the winter is whenever I can tell that my either I was like holding more water and stuff. So I could kind of tell the difference. And we're sort of be sticking a bit more knots. Yeah, but it's otherwise it's been pretty good. Most time when I've been exercising, it seems to sync up with sort of other things that I've been using something that that's been useful. What is interesting is in the spring, I got COVID. And I realized I had temperature first because this picked it up about a day or two before I started actually having symptoms and then tested. So yes, that's been the pretty useful. We also have a lot of people in our department that have been, like a lot of people have been comparing general things that they saw and stuff like that. But yeah, it's overall been pretty good."
5835,"I enjoyed it. It gave me a lot of insight on my sleep. I think that was what I was using the most for. Um, Was that is actually sleep better than most people, so."
5849,"Um, so I think mostly like, it's been positive and negative. Um the negative parts were just like it was I really wanted to wear it to sleep,"
5882,
5883,"It's been great. took, like, I don't know, maybe a week to get used to it. And now, since I've been used to it, I love it."
5948,"Overall experience. I think it's been great. I like wearing it. I feel like I use it predominantly for like the sleep functions, or to like measure my sleep. I guess maybe the hardest thing was remembering to open the app every day. I think that probably maybe didn't do that. 100% of the time. But it was great to have kind of like the metrics and to see and follow. And I found it to be like, validating when I woke up and I was like, Oh, my God, I'm so jacked. And then be like, well, your sleep scores of 55. Right? Okay, great. And then sometimes I found it to be like, motivating if I woke up and I was tired, and I'd open the app, it was like, you're at an 85. And I was like, okay, Buttercup, like, it's not that bad. Yeah. So I did kind of sometimes use it like, internally for whatever motivating or validating. So yeah, I mean, I think in that regard, it was fun."
6025,"Overall, my experience has been really positive. And I think it did take a little while to get used to wearing it. I'm not a huge, like wear of devices or so there was a little bit of a like adjustment period. But now it feels like just kind of a regular feature of day to day. And I think it's just brilliant, brought some heightened awareness to certain parts of wellness that I think are really, really easy to allow to slip, especially in the rigors of the academic year within the semester. So I think in terms of my experience, it's been valuable in terms of bringing some heightened awareness to things that maybe I hadn't focused on as much in terms of wellness, getting a little bit better able to identify those things with the ring, but also, just more broadly."
6064,"It is it's been, it's been fine. I, I am not, I don't get very involved in technology."
6200,"Um, It was, at first it was a little hard to get used to because the ring's a little bit bulky. I do have fibromyalgia. So my fingers swell."
6254,
6372,"Well, It made me more cognitive of my sleep. I always need to have my activity. Sleep. I have no problem."
6373,"Well, I did like my most favorite thing about it was looking at how much sleep I got. Yeah, or didn't got that didn't that didn't get the next day. That was I found very helpful. I liked the steps, when given how much activity I got nice. Sometimes I would, and I was actually pretty good about keeping up with charging it. Sure. But a couple of times, see, maybe only a few times over the course of the year. It died on me. But for the most part, it was fine. Yeah. Or like one time I woke up, and it wasn't connected with your eye, but it hadn't died. But sure, just but other than that, it was that as I said the most helpful was seeing her much activity and asleep. That was my main reason for signing up. Because I wanted to see what kind of sleep I was getting. Getting."
6472,"Um I really loved it, I really enjoyed, like the sleep tracking feature. At first, I was a little worried, like, if it was gonna, like getting used to the feeling of having it on, but I got used to it pretty quickly. And I really enjoyed all of the features of it. So"
6597,"I think the ring, I found the ring kind of frustrating because it did not catch a lot of workouts."
6830,"Um, yeah, overall, you know, took a little I don't typically wear rings. So took a little to get used to, and just remembering to charge it. But otherwise, I, you know, I kind of got used to it. I definitely enjoyed, I feel like I didn't investigate as many of the features as I probably could have. But I did do for a while I was really at the beginning, I was definitely relying on some of the, like, meditation things there was one I would like, it definitely I was like I was like, at the beginning, I was like oh my god, going through some stuff and I was like, the best night's sleep. And then I kind of got away from that. But yeah, otherwise it was kind of just a fascinating, interesting, sort of, like, I got a lot of like, it was a conversation starter too. I mean, on campus, it was kind of like insides you know group. But then even off, you know, other people are like, what, what is that people thought it was just a, I'm like this is not just a piece of jewelry, This was like keeping track of, it was interesting to kind of like show people the app and yeah, I mean, I feel like I'm gonna talk about this more with like my own personal wellness, but I'm not usually like a gadget person. So it was an interesting experiment for me personally, To attach myself to something cause I usually feel like I have a pretty good sense of, you know, like, I know if I didn't sleep well or not. And so it was interesting to be like, Okay, I can look at this thing in the morning and be like, Yeah, that's right. I didn't sleep well or I slept well."
6864,"I had a really positive experience, I was really excited to get it."
7106,
7403,"I really enjoyed it. I learned more and more about myself and more more about the ring in the app as, um, as the year went on. So it was very positive."
7416,"Um, so I've been wearing it for about a year, and it has been fine. After a while you don't notice that it's there."
7482,"Um, overall, it was informative. I would say initially out of the gate,"
7499,"Okay, um, you just got it, okay, um very convenient. Another device I have, you know, my, I have, you know, iPhone and I use a lot. But this you know connection with my phone, you know, kind of changing, you know, I'm looking at, you know, checking by to work my daily activities, especially my you know, exercise, you know, duration, my heart rate, you know, monitor that, you know, closely, I was going back and forth and you know, checking, you know, what happened sometime and, you know, carrying the phone with me. In addition, I also have iWatch so it connects with that, too. So that's, that's a good thing. So it just seeing it a track on my activities, you know, more more effectively sometimes on your I left a phone somewhere but as soon as I'm able to check on my watch and also look at it ring, you know, find out you know, we're doing especially when I go work out, I usually just carry only wearing my watch, and also the ring didn't carry my iPhone, so that I can track you know, the activities I'm doing and in my heart rate. The only thing I'm kind of hesitant to do hasn't been to do is that during the nighttime, I track my sleep a couple of times, maybe sometimes, but the ring because I wear my index finger and you know, the ring getting, you know, really read a tight during nighttime, especially when I woke up in the morning, you know, it just just so hard to take it out. So sometime I literally just knew before I go to bed and put another you know, my ring finger should make it, you know, and but, uh, fell off, you know, night I wasn't looking for my ring in the morning, you know, I'm saying just that's something that I don't know, is it because I didn't check the size very carefully. I try and work well. But so that's why I sometime it took it off, you know, and also my phone and my watch it just leave everything there. So I've not kind of just, you know, says there's some time you where things are tracking you. You can, it's hard for you to get into sleep, you know, I just need to take them out and put them away and then you know, maybe that can help. I know, my sleep pattern is usually during the weekdays I do well weekends some time, you know, at the end do well, because a lot of other things are going on. So that's that's that's the only thing I'm concerned about is with the ring. Because the size you know, can really get tight you know, it's not a size and maybe my fingers you know even a nice sleep and you know get a swollen little bit you know, I'm saying because room is a warm?"
7628,"It was fine. I didn't have any issues with it it um, I didn't even realize it was there. So I was totally fine."
7717,
7791,"overall experience wearing the ring. So at first I thought it was kind of weird because I am not a jewelry guy, so I'm sure you get a lot of that. I, what's interesting is that what I really used it for, functionally was I got addicted to looking in the morning. I'm sure a lot of people say this. How do they sleep last night? What's my readiness score? Yeah, I noticed. So I noticed some things about it. I noticed, you know, when I was sick, I could tell, you know, it was interesting. I'm not a big drinker at all. And I really, I haven't had hard liquor in like, two, two years, three years. But if I would have a beer or something like that, I could tell the next day on the ring, which was super interesting."
7841,
8014,"I liked, I liked wearing the ring, I, the first. The original one I got, it was like too tight and too small on every finger. So we did have to get a new size and then after that I worked it out, figured out like where like to wear it."
8103,I've really enjoyed it.
8220,"I thought it was good. I thought some of the data was pretty interesting. I feel like as time went on, I didn't check in as much as I did in the beginning like to start with, like I felt in the beginning, every day, I was looking at seeing what things were. But it was nice to have kind of that objective number of wow, like, I feel like I didn't sleep well last night, and then look at the thing. Wow, I really didn't slepp well. when those things would like you feel like you didn't. But did you did you not have to kind of look at that data and see it. It was also interesting, because I have an Apple Watch. So interesting to kind of see the comparison there. And I felt they were very similar."
8476,A lot more active than I thought it was.
8494,"overall positive, I was more in tune with my sleep schedule, and then improved at certain times. And the thing that was confusing to me for the ring was how, you know, my phone track steps. This didn't seem to correlate to steps that had some arbitrary kind of 600 that I was shooting for, but didn't know what that was. So some days, I'd hit it, a few days, I'd hit it, not a lot. And so that was it was okay to have a goal. But it was a little arbitrary that I wasn't sure what I was shooting for. Whereas 10,000 steps is kind of, you know, whatever the fun is. And I've tried other fitness trackers before, like Fitbits, and things like that. So this was nice. It was comprehensive. The readiness score seemed to be spot on. Now, I don't know is that psychological readiness score? Do you see it's a 16? You're like, Oh, I'm going to have a rough day."
8510,"I liked it. It was I think the most helpful thing for me was sleep. And being able to kind of look at what that looked like, and also the period tracking was pretty helpful."
8568,"I enjoyed it very much. Yeah. Yes, I am. Faithfully [Long pause] What do you call it updated? Like, in the morning every morning? Sure. Yeah."
8612,"Overall, I think it's been very pleasant and positive, I think it's given me some key insights into some areas of my own, maybe physical wellness that I probably have neglected and probably still do. But overall, yeah, I had a great experience and would recommend it's in the future to other health and human performance professionals."
8623,
8706,"I think in the beginning, it was maybe what would be identified as slightly obsessive, you know, waking up checking in immediately. And as time has gone on, I, I probably paid most attention to the sleep portion of it. I've found that the activity doesn't really it's not a catalyst, I think, to do more or to do less, you know, the readiness score doesn't really play into everything. And I don't think it necessarily changed my behavior, but it'd be it allowed me to become much more aware of like, kind of how critical maybe establishing a better sleep routine was for me personally."
8787,"I pretty much enjoyed it. I, I liked having it was it was nice to like, have a feature that like kind of picked up my activity, tracking my activity and things like that. And it did a better job than my Apple watch. So I liked that. At first, I didn't like the reminders of like, go to bed. But I got used to them. And I didn't really change my sleep schedule a lot, but I appreciate it like, oh, maybe I should start like winding down before bed. Things like that. But yeah, pretty, pretty good experience. I was like pretty impressed with it."
9010,It's a bit uncomfortable.
9166,
9206,
9234,"Um, overall, it was a great experience, I found it very interesting on a day that I was very sick that the app through an alert like something's not right."
9284,"I honestly did not have many issues with the ring at all. In the beginning, at first, I thought that rash and I know a few other people got just with like moisture getting under and things like that. But honestly, other than that, I really didn't have issues with it. I do know that it tracked your location when you like were logged into it was just a background phone activity. So that was the only thing that I was just like, Oh, I didn't fully know that. Other than that, I feel like I have really no issues with it. It was definitely an easy to follow in the sense that like everything within the app was super clickable, which I liked, because I didn't know some of like what the components were. So it was nice that it was all in there because sometimes it's not. And then you're like, right, tracking down Google searching left and right. And it's like, this literally does not make sense. But I feel it was very, like user friendly in that sense."
9295,"For the most part, I enjoyed wearing it. I thought it was interesting the information that it told us I was really bad about charging it."
9355,
9398,
9461,
9521,"Um, I would say when I first started wearing it, I was kind of like all in like checking it looking at it. You know, looking at the data, comparing to other people on campus, it kind of felt like we're part of like a club, because you could see who was wearing it. So I think that was enjoyable. You know, it was interesting to see all the data I would say towards, like now, it's like, oh, shoot, I didn't load it today. You know what I mean? So I feel less engaged with it now than I was at the beginning."
9827,
9975,"It, it was interesting. And it was interesting to follow, um all the data. Although, pretty quickly, I found that I was relying more on the data than how I felt."
